file,class,type,wmc,lcom,lcom*,loc
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\Format.java,SWIG.Format,class,11,15,0.83333325,74
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\GnuDemangler\ghidra_scripts\VxWorksSymTab_5_4.java,VxWorksSymTab_5_4,class,32,0,0,139
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\AccessType.java,SWIG.AccessType,class,11,15,0.8333334,36
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\FunctionID\ghidra_scripts\MSLibBatchImportGenerator.java,MSLibBatchImportGenerator,class,35,76,0.8769231,145
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\VersionTracking\ghidra_scripts\OverrideFunctionPrototypesOnAcceptedMatchesScript.java,OverrideFunctionPrototypesOnAcceptedMatchesScript,class,19,6,0,83
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SBPlatformConnectOptions.java,SWIG.SBPlatformConnectOptions,class,16,0,0.53846157,50
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SectionType.java,SWIG.SectionType,class,11,15,0.83333296,91
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\DWARF_ExtractorScript.java,DWARF_ExtractorScript,class,2,0,0,15
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\FunctionID\ghidra_scripts\CreateMultipleLibraries.java,CreateMultipleLibraries,class,50,42,0.8099547,288
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\MarkupWallaceSrcScript.java,MarkupWallaceSrcScript,class,8,1,0,87
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeHeaderRecordAttributes.java,mobiledevices.dmg.btree.BTreeHeaderRecordAttributes,class,0,0,NaN,5
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\ChangeDataSettingsScript.java,ChangeDataSettingsScript,class,7,0,0,27
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\ScriptLanguage.java,SWIG.ScriptLanguage,class,11,15,0.8333334,36
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\PrintStructureScript.java,PrintStructureScript,class,12,10,0,63
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\FileFormats\ghidra_scripts\ResolveReferencesRelativeToEbxScript.java,ResolveReferencesRelativeToEbxScript,class,25,8,0.6,85
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\DeleteDeadDefaultPlatesScript.java,DeleteDeadDefaultPlatesScript,class,9,0,0,30
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Decompiler\ghidra_scripts\classrecovery\ExtendedFlatProgramAPI.java,classrecovery.ExtendedFlatProgramAPI,class,205,934,0.90909094,757
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\GPL\DMG\src\dmg\java\mobiledevices\dmg\btree\BTreeTypes.java,mobiledevices.dmg.btree.BTreeTypes,class,0,0,NaN,5
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SymbolContextItem.java,SWIG.SymbolContextItem,class,11,15,0.8333333,41
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-rmi-trace\ghidra_scripts\RunBashInTerminalScript.java,RunBashInTerminalScript,class,2,0,0,16
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\CompareGDTs.java,CompareGDTs,class,51,40,0.78703713,197
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-agent-dbgmodel-traceloader\ghidra_scripts\PopulateTraceRemote.java,PopulateTraceRemote,class,4,2,0.6785714,41
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\SearchMemoryForStringsRegExScript.java,SearchMemoryForStringsRegExScript,class,10,0,0,38
